fold,R2,RMSE
1,0.6719192832975077,15.172970810732554
2,0.5407105800281007,14.43395151607676
3,0.5423257971752762,14.880712180327025
4,0.654506778069309,11.310029768851054
5,0.3525055556604151,14.487780256508657
